epoch,con_loss,adv_loss,dic_loss
17,0.2348,,
17,0.1786,,
17,0.4903,,
17,0.182,,
17,0.2321,,
17,0.1725,,
17,0.3555,,
17,0.2967,,
17,0.1932,,
17,0.3228,,
17,0.1767,,
17,0.2267,,
17,0.2724,,
17,0.2423,,
17,0.2223,,
17,0.2984,,
17,0.2229,,
17,0.1775,,
17,0.2496,,
17,0.2271,,
17,0.3052,,
17,0.2961,,
17,0.1989,,
17,0.1813,,
17,0.3198,,
17,0.3962,,
17,0.3305,,
17,0.2177,,
17,0.1925,,
17,0.293,,
17,0.1635,,
17,0.2166,,
18,0.4137,,
18,0.1854,,
18,0.1529,,
18,0.2878,,
18,0.1901,,
18,0.2055,,
18,0.227,,
18,0.2201,,
18,0.2366,,
18,0.148,,
18,0.2773,,
18,0.2344,,
18,0.2083,,
18,0.2047,,
18,0.2743,,
18,0.2803,,
18,0.2597,,
18,0.2328,,
18,0.2154,,
18,0.2444,,
18,0.1643,,
18,0.1547,,
18,0.1755,,
18,0.1864,,
18,0.2206,,
18,0.2305,,
18,0.2289,,
18,0.1558,,
18,0.1674,,
18,0.2289,,
18,0.2966,,
18,0.2627,,
18,0.2025,,
18,0.2758,,
18,0.1679,,
18,0.24,,
18,0.2552,,
18,0.3571,,
18,0.1773,,
18,0.1561,,
18,0.2379,,
18,0.3035,,
18,0.1528,,
18,0.1473,,
18,0.3205,,
18,0.2517,,
18,0.2885,,
18,0.2592,,
18,0.1664,,
18,0.2626,,
19,0.2967,,
19,0.2807,,
19,0.2133,,
19,0.2521,,
19,0.1765,,
19,0.2195,,
19,0.1517,,
19,0.1983,,
19,0.2112,,
19,0.2927,,
19,0.3157,,
19,0.2418,,
19,0.1533,,
19,0.2235,,
19,0.2244,,
19,0.2142,,
19,0.1484,,
19,0.1716,,
19,0.158,,
19,0.2046,,
19,0.208,,
19,0.2419,,
19,0.2609,,
19,0.107,,
19,0.248,,
19,0.1775,,
19,0.2502,,
19,0.3171,,
19,0.2109,,
19,0.124,,
19,0.229,,
19,0.2647,,
19,0.2376,,
19,0.2961,,
19,0.374,,
19,0.2264,,
19,0.1856,,
19,0.2189,,
19,0.1759,,
19,0.1419,,
19,0.1909,,
19,0.1939,,
19,0.2526,,
19,0.3335,,
19,0.1757,,
19,0.2757,,
19,0.161,,
19,0.1968,,
19,0.2221,,
19,0.2275,,
20,0.2175,,
20,0.2104,,
20,0.3339,,
20,0.273,,
20,0.273,,
20,0.1571,,
20,0.1539,,
20,0.2997,,
20,0.2347,,
20,0.1273,,
20,0.1002,,
20,0.276,,
20,0.1037,,
20,0.1764,,
20,0.2326,,
20,0.3151,,
20,0.166,,
20,0.2731,,
20,0.1874,,
20,0.1652,,
20,0.167,,
20,0.2001,,
20,0.2662,,
20,0.1731,,
20,0.1446,,
20,0.3133,,
20,0.122,,
20,0.1864,,
20,0.2524,,
20,0.369,,
20,0.1915,,
20,0.2062,,
20,0.2971,,
20,0.2606,,
20,0.2234,,
20,0.2549,,
20,0.1907,,
20,0.2066,,
20,0.1586,,
20,0.2253,,
20,0.1125,,
20,0.1976,,
20,0.3133,,
20,0.1937,,
20,0.2482,,
20,0.1894,,
20,0.4087,,
20,0.2583,,
20,0.2128,,
20,0.2922,,
21,0.3044,,
21,0.1321,,
21,0.2046,,
21,0.2272,,
21,0.2276,,
21,0.3287,,
21,0.265,,
21,0.3415,,
21,0.1346,,
21,0.2192,,
21,0.2453,,
21,0.3522,,
21,0.3158,,
21,0.1977,,
21,0.1774,,
21,0.2368,,
21,0.4342,,
21,0.2331,,
21,0.2761,,
21,0.2804,,
21,0.3503,,
21,0.2662,,
21,0.1759,,
21,0.2311,,
21,0.2999,,
21,0.2508,,
21,0.3118,,
21,0.1982,,
21,0.1596,,
21,0.2669,,
21,0.1554,,
21,0.3275,,
21,0.2428,,
21,0.3993,,
21,0.2555,,
21,0.2434,,
21,0.1968,,
21,0.2174,,
21,0.1803,,
21,0.1868,,
21,0.2965,,
21,0.1892,,
21,0.1744,,
21,0.2373,,
21,0.2832,,
21,0.1873,,
21,0.1218,,
21,0.2689,,
21,0.1931,,
21,0.2754,,
22,0.2284,,
22,0.1323,,
22,0.1851,,
22,0.3419,,
22,0.3543,,
22,0.2234,,
22,0.2932,,
22,0.1479,,
22,0.2677,,
22,0.2726,,
22,0.2013,,
22,0.2063,,
22,0.2132,,
22,0.104,,
22,0.2664,,
22,0.1323,,
22,0.1868,,
22,0.2466,,
22,0.3522,,
22,0.1371,,
22,0.2106,,
22,0.2706,,
22,0.3197,,
22,0.1661,,
22,0.1341,,
22,0.2543,,
22,0.1237,,
22,0.2411,,
22,0.2139,,
22,0.3056,,
22,0.1697,,
22,0.1185,,
22,0.1964,,
22,0.2636,,
22,0.2879,,
22,0.2824,,
22,0.1126,,
22,0.176,,
22,0.3062,,
22,0.2997,,
22,0.2176,,
22,0.292,,
22,0.2307,,
22,0.2246,,
22,0.1862,,
22,0.2165,,
22,0.3585,,
22,0.2337,,
22,0.2255,,
22,0.2107,,
23,0.2277,,
23,0.2104,,
23,0.2256,,
23,0.2811,,
23,0.0891,,
23,0.1655,,
23,0.1957,,
23,0.2457,,
23,0.1588,,
23,0.2543,,
23,0.2346,,
23,0.2039,,
23,0.1666,,
23,0.3478,,
23,0.269,,
23,0.1616,,
23,0.2255,,
23,0.1915,,
23,0.2877,,
23,0.2809,,
23,0.2673,,
23,0.4467,,
23,0.3799,,
23,0.2861,,
23,0.2019,,
23,0.3651,,
23,0.292,,
23,0.2245,,
23,0.2577,,
23,0.2155,,
23,0.2314,,
23,0.1563,,
23,0.2027,,
